episode,reward,avg_queue,epsilon,loss
0,-2816.9722,14.233,0.00998645168764533,
1,-2194.5989,12.7445,0.00998645168764533,
2,-1396.6754,10.754,0.00998645168764533,
3,-2237.5474,13.0335,0.00998645168764533,
4,-819.0127,8.706,0.00998645168764533,
5,-1586.5618,10.3205,0.00998645168764533,
6,-3004.825,13.2125,0.00998645168764533,
7,-1229.2133,9.901,0.00998645168764533,
8,-2107.4993,10.8285,0.00998645168764533,
9,-1738.8999,11.4985,0.00998645168764533,
10,-2079.5242,11.8685,0.00998645168764533,
11,-1779.4879,10.2025,0.00998645168764533,
12,-1251.0247,9.686,0.00998645168764533,
13,-1295.4238,9.1945,0.00998645168764533,
14,-1115.2875,9.399,0.00998645168764533,
15,-1487.1632,10.3775,0.00998645168764533,
16,-1577.3127,10.681,0.00998645168764533,
17,-1368.1752,10.3375,0.00998645168764533,
18,-616.0746,7.0915,0.00998645168764533,
19,-1741.3748,10.8575,0.00998645168764533,
20,-1136.0251,9.247,0.00998645168764533,
21,-1170.5995,8.8645,0.00998645168764533,
22,-1200.0371,9.2315,0.00998645168764533,
23,-817.2259,7.906,0.00998645168764533,
24,-945.0129,8.285,0.00998645168764533,
25,-1027.488,8.6055,0.00998645168764533,
26,-1374.2866,9.253,0.00998645168764533,
27,-1525.6746,9.3985,0.00998645168764533,
28,-1508.7384,9.442,0.00998645168764533,
29,-767.43726,7.837,0.00998645168764533,
30,-1079.4629,8.718,0.00998645168764533,
31,-1053.5499,8.9,0.00998645168764533,
32,-4826.087,15.4535,0.00998645168764533,
33,-1142.4755,8.6095,0.00998645168764533,
34,-2553.4763,12.4605,0.00998645168764533,
35,-2143.387,11.069,0.00998645168764533,
36,-1483.8875,10.1855,0.00998645168764533,
37,-705.738,7.57,0.00998645168764533,
38,-693.9501,7.529,0.00998645168764533,
39,-484.31226,6.727,0.00998645168764533,
40,-813.5998,7.921,0.00998645168764533,
41,-549.6125,6.901,0.00998645168764533,
42,-990.98706,8.892,0.00998645168764533,
43,-1673.9001,10.1775,0.00998645168764533,
44,-1067.7504,8.0695,0.00998645168764533,
45,-985.6628,8.6205,0.00998645168764533,
46,-612.2749,7.0645,0.00998645168764533,
47,-811.4748,7.592,0.00998645168764533,
48,-1841.3992,10.3405,0.00998645168764533,
49,-649.30035,7.086,0.00998645168764533,
50,-934.6248,7.904,0.00998645168764533,
51,-931.4374,7.96,0.00998645168764533,
52,-1480.8246,9.3335,0.00998645168764533,
53,-1189.2141,8.8195,0.00998645168764533,
54,-1240.6758,8.7255,0.00998645168764533,
55,-1072.3131,8.381,0.00998645168764533,
56,-3131.6125,12.607,0.00998645168764533,
57,-645.82526,7.2405,0.00998645168764533,
58,-710.7126,6.965,0.00998645168764533,
59,-2496.2761,10.338,0.00998645168764533,
60,-1194.1125,9.082,0.00998645168764533,
61,-1872.062,10.2935,0.00998645168764533,
62,-968.8379,7.8725,0.00998645168764533,
63,-799.1379,7.8785,0.00998645168764533,
64,-2396.073,9.936,0.00998645168764533,
65,-594.18774,6.8755,0.00998645168764533,
66,-913.25037,7.8865,0.00998645168764533,
67,-3264.7485,10.6545,0.00998645168764533,
68,-691.7246,7.5465,0.00998645168764533,
69,-1199.8755,8.88,0.00998645168764533,
70,-542.91284,6.72,0.00998645168764533,
71,-865.8252,7.5245,0.00998645168764533,
72,-660.2506,6.8805,0.00998645168764533,
73,-726.188,7.723,0.00998645168764533,
74,-1385.2006,8.622,0.00998645168764533,
75,-1117.5623,8.6885,0.00998645168764533,
76,-575.4122,6.454,0.00998645168764533,
77,-1363.2109,8.053,0.00998645168764533,
78,-575.4503,6.513,0.00998645168764533,
79,-974.60016,7.737,0.00998645168764533,
80,-684.17456,7.09,0.00998645168764533,
81,-984.01294,7.4085,0.00998645168764533,
82,-1535.275,9.73,0.00998645168764533,
83,-648.0996,7.1955,0.00998645168764533,
84,-1762.4246,10.6345,0.00998645168764533,
85,-808.6376,7.5015,0.00998645168764533,
86,-1495.475,7.9955,0.00998645168764533,
87,-2238.9614,9.9665,0.00998645168764533,
88,-1327.0245,8.971,0.00998645168764533,
89,-1250.3245,9.238,0.00998645168764533,
90,-959.613,8.1045,0.00998645168764533,
91,-533.9752,6.4245,0.00998645168764533,
92,-811.9502,7.373,0.00998645168764533,
93,-1133.4746,7.0465,0.00998645168764533,
94,-534.43756,6.441,0.00998645168764533,
95,-1372.1504,9.2175,0.00998645168764533,
96,-934.8999,8.4905,0.00998645168764533,
