episode,reward,avg_queue,epsilon,loss
0,-1929.3124,10.99,0.00998645168764533,
1,-392.31244,4.638,0.00998645168764533,
2,-344.52475,4.069,0.00998645168764533,
3,-294.88715,4.2445,0.00998645168764533,
4,-311.40012,4.553,0.00998645168764533,
5,-192.08751,4.4445,0.00998645168764533,
6,-223.41249,4.7605,0.00998645168764533,
7,-126.00002,4.2335,0.00998645168764533,
8,-273.41238,5.158,0.00998645168764533,
9,-143.02498,4.41,0.00998645168764533,
10,-124.312416,4.391,0.00998645168764533,
11,-278.72488,5.414,0.00998645168764533,
12,-197.50012,4.913,0.00998645168764533,
13,-162.72491,4.9335,0.00998645168764533,
14,-192.85005,4.77,0.00998645168764533,
15,-166.22508,4.7685,0.00998645168764533,
16,-126.45008,4.2975,0.00998645168764533,
17,-107.075005,4.1825,0.00998645168764533,
18,-75.200035,4.2165,0.00998645168764533,
19,-117.487335,4.41,0.00998645168764533,
20,-197.77513,5.013,0.00998645168764533,
21,-217.16254,5.0775,0.00998645168764533,
22,-111.83747,4.547,0.00998645168764533,
23,-96.68731,4.395,0.00998645168764533,
24,-149.77495,4.579,0.00998645168764533,
25,-135.92508,4.7755,0.00998645168764533,
26,-107.0,4.76,0.00998645168764533,
27,-141.375,4.59,0.00998645168764533,
28,-83.137566,4.288,0.00998645168764533,
29,-118.48742,4.774,0.00998645168764533,
30,-178.3502,5.067,0.00998645168764533,
31,-235.90013,5.4395,0.00998645168764533,
32,-128.4625,4.772,0.00998645168764533,
33,-90.72496,4.758,0.00998645168764533,
34,-93.98746,4.57,0.00998645168764533,
35,-112.84995,4.683,0.00998645168764533,
36,-183.87498,5.02,0.00998645168764533,
37,-88.18746,4.544,0.00998645168764533,
38,-92.02508,4.634,0.00998645168764533,
39,-91.90002,4.808,0.00998645168764533,
40,-112.47508,4.496,0.00998645168764533,
41,-71.35005,4.299,0.00998645168764533,
42,-207.96248,5.054,0.00998645168764533,
43,-149.82507,4.912,0.00998645168764533,
44,-145.63745,4.724,0.00998645168764533,
45,-183.68738,5.302,0.00998645168764533,
46,-125.79999,4.9555,0.00998645168764533,
47,-43.312473,4.1565,0.00998645168764533,
48,-136.41248,4.924,0.00998645168764533,
49,-90.0375,4.4655,0.00998645168764533,
50,-58.687527,4.4115,0.00998645168764533,
51,-97.43748,4.6385,0.00998645168764533,
52,-106.362526,4.852,0.00998645168764533,
53,-112.36238,4.964,0.00998645168764533,
54,-120.262566,4.7555,0.00998645168764533,
55,-151.5,5.0145,0.00998645168764533,
56,-112.64999,4.99,0.00998645168764533,
57,-133.37491,4.619,0.00998645168764533,
58,-96.06244,5.167,0.00998645168764533,
59,-156.89989,5.043,0.00998645168764533,
60,-111.84998,4.7145,0.00998645168764533,
61,-134.22488,4.839,0.00998645168764533,
62,-134.08752,5.353,0.00998645168764533,
63,-148.3,4.9025,0.00998645168764533,
64,-101.41246,4.859,0.00998645168764533,
65,-127.08738,5.157,0.00998645168764533,
66,-111.97495,4.778,0.00998645168764533,
67,-75.312546,4.468,0.00998645168764533,
68,-62.000023,4.544,0.00998645168764533,
69,-89.27492,4.687,0.00998645168764533,
70,-115.09998,4.6275,0.00998645168764533,
71,-39.175007,4.3685,0.00998645168764533,
72,-39.7875,4.343,0.00998645168764533,
73,-143.0374,4.745,0.00998645168764533,
74,-80.23748,4.6265,0.00998645168764533,
75,-73.59996,4.79,0.00998645168764533,
76,-125.39995,4.95,0.00998645168764533,
77,-23.950012,4.2535,0.00998645168764533,
78,-66.37503,4.822,0.00998645168764533,
79,-37.68751,4.372,0.00998645168764533,
80,-70.66249,4.5785,0.00998645168764533,
81,-102.67491,4.8545,0.00998645168764533,
82,-103.299866,4.9685,0.00998645168764533,
83,-103.92497,4.8835,0.00998645168764533,
84,-105.437386,4.8525,0.00998645168764533,
85,-112.56237,4.572,0.00998645168764533,
86,-72.61253,4.767,0.00998645168764533,
87,-41.037453,4.487,0.00998645168764533,
88,-77.625015,4.497,0.00998645168764533,
89,-100.01244,4.891,0.00998645168764533,
90,-38.78753,4.4445,0.00998645168764533,
91,-102.42499,4.862,0.00998645168764533,
92,-85.38741,4.767,0.00998645168764533,
93,-68.73749,4.887,0.00998645168764533,
94,-51.750008,4.5875,0.00998645168764533,
95,-83.13741,4.5615,0.00998645168764533,
96,-79.53747,4.711,0.00998645168764533,
97,-58.46243,4.6665,0.00998645168764533,
98,-131.23755,4.9885,0.00998645168764533,
99,-38.11251,4.623,0.00998645168764533,
100,-97.72496,5.0015,0.00998645168764533,
101,-72.41247,4.6285,0.00998645168764533,
102,-90.72497,4.8795,0.00998645168764533,
103,-120.51249,4.7975,0.00998645168764533,
104,-153.35,5.2205,0.00998645168764533,
