episode,reward,avg_queue,epsilon,loss
0,-1188.0004,8.7995,0.00998645168764533,
1,-452.42484,4.506,0.00998645168764533,
2,-389.51266,4.6405,0.00998645168764533,
3,-310.42477,4.5835,0.00998645168764533,
4,-287.31247,4.579,0.00998645168764533,
5,-177.33748,4.0825,0.00998645168764533,
6,-219.36246,4.5875,0.00998645168764533,
7,-190.325,4.3305,0.00998645168764533,
8,-199.02487,4.548,0.00998645168764533,
9,-224.46257,4.698,0.00998645168764533,
10,-149.8249,4.564,0.00998645168764533,
11,-142.24992,4.5045,0.00998645168764533,
12,-115.53736,4.507,0.00998645168764533,
13,-163.36269,4.507,0.00998645168764533,
14,-128.18758,4.4585,0.00998645168764533,
15,-138.61243,4.4755,0.00998645168764533,
16,-120.3125,4.567,0.00998645168764533,
17,-147.01254,4.92,0.00998645168764533,
18,-191.05002,5.08,0.00998645168764533,
19,-243.06241,5.188,0.00998645168764533,
20,-191.6875,4.85,0.00998645168764533,
21,-94.6125,4.3755,0.00998645168764533,
22,-110.01246,4.435,0.00998645168764533,
23,-133.53749,4.651,0.00998645168764533,
24,-176.17494,5.007,0.00998645168764533,
25,-138.625,4.6685,0.00998645168764533,
26,-104.03752,4.5705,0.00998645168764533,
27,-74.299934,4.3725,0.00998645168764533,
28,-103.63754,4.694,0.00998645168764533,
29,-116.80002,4.5615,0.00998645168764533,
30,-129.67506,4.8075,0.00998645168764533,
31,-170.22499,4.908,0.00998645168764533,
32,-72.937454,4.59,0.00998645168764533,
33,-176.51239,5.039,0.00998645168764533,
34,-234.35004,5.395,0.00998645168764533,
35,-116.73744,4.456,0.00998645168764533,
36,-95.59997,4.485,0.00998645168764533,
37,-178.78761,5.0455,0.00998645168764533,
38,-82.03749,4.3945,0.00998645168764533,
39,-124.20003,4.5395,0.00998645168764533,
40,-140.07503,4.744,0.00998645168764533,
41,-93.04997,4.5635,0.00998645168764533,
42,-89.575005,4.713,0.00998645168764533,
43,-71.22493,4.2725,0.00998645168764533,
44,-144.26254,4.8735,0.00998645168764533,
45,-49.82503,4.4945,0.00998645168764533,
46,-102.387436,4.965,0.00998645168764533,
47,-127.9624,5.0065,0.00998645168764533,
48,-115.47499,4.7945,0.00998645168764533,
49,-137.31264,4.9415,0.00998645168764533,
50,-102.587425,4.54,0.00998645168764533,
51,-147.24995,5.1305,0.00998645168764533,
52,-162.58752,5.101,0.00998645168764533,
53,-167.17516,4.992,0.00998645168764533,
54,-113.19988,4.762,0.00998645168764533,
55,-135.33739,5.258,0.00998645168764533,
56,-121.49985,4.679,0.00998645168764533,
57,-84.3125,4.6675,0.00998645168764533,
58,-121.049995,4.7455,0.00998645168764533,
59,-111.75003,4.717,0.00998645168764533,
60,-122.324936,4.801,0.00998645168764533,
61,-151.8999,4.9715,0.00998645168764533,
62,-85.33753,4.594,0.00998645168764533,
63,-105.787445,4.9475,0.00998645168764533,
64,-62.08747,4.7895,0.00998645168764533,
65,-62.474987,4.6405,0.00998645168764533,
66,-110.77482,4.6405,0.00998645168764533,
67,-122.97489,4.8895,0.00998645168764533,
68,-120.66253,4.9525,0.00998645168764533,
69,-29.037516,4.455,0.00998645168764533,
70,-151.7625,4.8165,0.00998645168764533,
71,-135.88744,5.271,0.00998645168764533,
72,-140.92505,5.028,0.00998645168764533,
73,-115.84983,4.855,0.00998645168764533,
74,-66.79992,4.534,0.00998645168764533,
75,-132.45,5.3025,0.00998645168764533,
76,-74.92496,4.6545,0.00998645168764533,
77,-88.37504,4.7425,0.00998645168764533,
78,-97.49999,4.9195,0.00998645168764533,
79,-60.550056,4.514,0.00998645168764533,
80,-77.887474,4.5465,0.00998645168764533,
81,-131.51247,4.832,0.00998645168764533,
82,-104.22506,4.724,0.00998645168764533,
83,-112.07503,4.8455,0.00998645168764533,
84,-54.81248,4.428,0.00998645168764533,
85,-41.28749,4.5605,0.00998645168764533,
86,-94.73748,4.6455,0.00998645168764533,
87,-103.22497,4.9225,0.00998645168764533,
88,-95.62492,4.7205,0.00998645168764533,
89,-165.52475,5.155,0.00998645168764533,
90,-106.11253,4.948,0.00998645168764533,
91,-135.67493,5.071,0.00998645168764533,
92,-83.837494,4.881,0.00998645168764533,
93,-101.74992,4.698,0.00998645168764533,
94,-58.675034,4.4475,0.00998645168764533,
95,-83.76246,4.7335,0.00998645168764533,
96,-91.62483,4.7685,0.00998645168764533,
97,-89.12488,4.672,0.00998645168764533,
98,-61.812523,4.5065,0.00998645168764533,
99,-80.36249,4.721,0.00998645168764533,
100,-44.262527,4.5755,0.00998645168764533,
101,-85.324936,4.6845,0.00998645168764533,
102,-61.887524,4.6175,0.00998645168764533,
103,-49.225025,4.4605,0.00998645168764533,
104,-140.11249,5.215,0.00998645168764533,
105,-74.57498,4.6245,0.00998645168764533,
106,-111.82495,5.2355,0.00998645168764533,
107,-96.987595,5.0545,0.00998645168764533,
108,-40.375034,4.736,0.00998645168764533,
109,-26.337515,4.5855,0.00998645168764533,
110,-261.8252,5.8545,0.00998645168764533,
111,-66.774956,4.7585,0.00998645168764533,
112,-156.90002,5.393,0.00998645168764533,
113,-57.53752,4.7465,0.00998645168764533,
114,-62.63748,4.654,0.00998645168764533,
115,-62.087524,4.604,0.00998645168764533,
116,-63.62504,4.8895,0.00998645168764533,
117,-84.81244,4.985,0.00998645168764533,
118,-92.17497,4.85,0.00998645168764533,
119,-33.512524,4.5995,0.00998645168764533,
120,-117.59989,5.0355,0.00998645168764533,
121,-88.66244,4.875,0.00998645168764533,
122,-100.82499,4.9285,0.00998645168764533,
123,-97.28753,5.1455,0.00998645168764533,
124,-70.48747,4.649,0.00998645168764533,
125,-152.57503,5.5115,0.00998645168764533,
126,-77.47503,4.8595,0.00998645168764533,
127,-102.81237,5.029,0.00998645168764533,
128,-94.5125,4.723,0.00998645168764533,
129,-29.762518,4.4355,0.00998645168764533,
130,-91.17498,4.7145,0.00998645168764533,
131,-102.79995,4.9085,0.00998645168764533,
132,-95.58751,4.8005,0.00998645168764533,
133,-43.92497,4.596,0.00998645168764533,
134,-87.33738,4.803,0.00998645168764533,
135,-144.89995,5.4305,0.00998645168764533,
136,-31.700003,4.263,0.00998645168764533,
137,-50.725006,4.64,0.00998645168764533,
138,-135.71246,5.042,0.00998645168764533,
139,-65.59998,4.7765,0.00998645168764533,
140,-89.86245,4.7725,0.00998645168764533,
141,-97.63739,4.9275,0.00998645168764533,
142,-104.98745,5.166,0.00998645168764533,
143,-123.487404,5.1605,0.00998645168764533,
144,-54.237488,4.84,0.00998645168764533,
145,-46.687542,4.6895,0.00998645168764533,
146,-105.93739,4.8895,0.00998645168764533,
147,-122.8875,5.044,0.00998645168764533,
148,-81.437485,4.729,0.00998645168764533,
149,-58.462524,4.746,0.00998645168764533,
150,-118.48738,4.828,0.00998645168764533,
151,-99.23745,4.8245,0.00998645168764533,
152,-61.77501,4.6685,0.00998645168764533,
153,-71.999954,4.57,0.00998645168764533,
154,-117.17489,5.0985,0.00998645168764533,
155,-29.06253,4.458,0.00998645168764533,
156,-45.42501,4.5665,0.00998645168764533,
157,-14.975022,4.2195,0.00998645168764533,
158,-57.262455,4.537,0.00998645168764533,
159,-166.16263,5.529,0.00998645168764533,
160,-82.24998,4.712,0.00998645168764533,
161,-143.48761,5.226,0.00998645168764533,
162,-35.112526,4.7495,0.00998645168764533,
