episode,reward,avg_queue,epsilon,loss
0,-60579.88,101.3505,0.00998645168764533,
1,-3819.1873,11.5335,0.00998645168764533,
2,-861.9254,6.7695,0.00998645168764533,
3,-2900.174,11.471,0.00998645168764533,
4,-7493.778,14.2375,0.00998645168764533,
5,-908.47485,6.235,0.00998645168764533,
6,-1559.7244,8.5625,0.00998645168764533,
7,-1883.8522,8.692,0.00998645168764533,
8,-913.91266,5.987,0.00998645168764533,
9,-824.9746,6.11,0.00998645168764533,
10,-511.32483,4.2895,0.00998645168764533,
11,-632.1249,4.7355,0.00998645168764533,
12,-645.08765,4.372,0.00998645168764533,
13,-643.28784,5.4105,0.00998645168764533,
14,-511.01248,4.8445,0.00998645168764533,
15,-454.82486,5.0745,0.00998645168764533,
16,-577.93756,6.195,0.00998645168764533,
17,-572.4005,5.964,0.00998645168764533,
18,-385.3249,5.0355,0.00998645168764533,
19,-508.57504,5.705,0.00998645168764533,
20,-438.2999,5.427,0.00998645168764533,
21,-330.6749,5.0595,0.00998645168764533,
22,-481.7375,5.9715,0.00998645168764533,
23,-444.55002,5.507,0.00998645168764533,
24,-361.35016,4.9,0.00998645168764533,
25,-286.40002,4.903,0.00998645168764533,
26,-269.59995,4.939,0.00998645168764533,
27,-500.0251,5.706,0.00998645168764533,
28,-294.575,5.216,0.00998645168764533,
29,-307.98776,5.2415,0.00998645168764533,
30,-246.31245,5.0035,0.00998645168764533,
31,-262.23737,5.1765,0.00998645168764533,
32,-288.38745,5.4835,0.00998645168764533,
33,-217.9748,4.962,0.00998645168764533,
34,-341.86255,5.5455,0.00998645168764533,
35,-330.4497,5.7775,0.00998645168764533,
36,-347.46222,5.7215,0.00998645168764533,
37,-249.92497,5.158,0.00998645168764533,
38,-296.43753,5.5355,0.00998645168764533,
39,-377.01276,6.069,0.00998645168764533,
40,-289.65005,5.9875,0.00998645168764533,
41,-226.03761,5.4375,0.00998645168764533,
42,-262.73746,5.317,0.00998645168764533,
43,-265.77496,5.5465,0.00998645168764533,
44,-308.42496,5.642,0.00998645168764533,
45,-288.9249,5.737,0.00998645168764533,
46,-261.525,5.241,0.00998645168764533,
47,-300.43765,5.447,0.00998645168764533,
48,-276.6249,5.5115,0.00998645168764533,
49,-230.07489,5.197,0.00998645168764533,
50,-249.41237,5.61,0.00998645168764533,
51,-316.08743,5.703,0.00998645168764533,
52,-228.11246,5.257,0.00998645168764533,
53,-222.0875,5.344,0.00998645168764533,
54,-280.61264,5.6805,0.00998645168764533,
