episode,reward,avg_queue,epsilon,loss
0,-471.6747,4.1975,0.00998645168764533,
1,-397.50027,4.0215,0.00998645168764533,
2,-373.87503,3.606,0.00998645168764533,
3,-293.0496,3.395,0.00998645168764533,
4,-297.575,3.446,0.00998645168764533,
5,-380.31268,3.7125,0.00998645168764533,
6,-273.61234,3.1425,0.00998645168764533,
7,-274.39966,3.1495,0.00998645168764533,
8,-289.0497,3.2115,0.00998645168764533,
9,-261.18753,3.093,0.00998645168764533,
10,-326.06207,3.2545,0.00998645168764533,
11,-305.56247,3.152,0.00998645168764533,
12,-395.07474,3.6765,0.00998645168764533,
13,-259.987,2.991,0.00998645168764533,
14,-281.3,2.888,0.00998645168764533,
15,-287.44952,3.149,0.00998645168764533,
16,-296.58722,3.0765,0.00998645168764533,
17,-260.76212,3.017,0.00998645168764533,
18,-283.22495,3.124,0.00998645168764533,
19,-310.38705,3.4665,0.00998645168764533,
20,-341.67477,3.583,0.00998645168764533,
21,-292.1621,3.077,0.00998645168764533,
22,-314.76227,2.966,0.00998645168764533,
23,-274.6372,2.679,0.00998645168764533,
24,-261.6121,2.9695,0.00998645168764533,
25,-301.80002,3.2305,0.00998645168764533,
26,-295.11218,3.193,0.00998645168764533,
27,-245.9124,2.961,0.00998645168764533,
28,-332.29968,3.235,0.00998645168764533,
29,-300.99988,3.1445,0.00998645168764533,
30,-382.63754,3.3465,0.00998645168764533,
31,-306.1503,3.5145,0.00998645168764533,
32,-271.93716,2.6855,0.00998645168764533,
33,-364.9872,3.415,0.00998645168764533,
34,-269.90024,3.084,0.00998645168764533,
35,-298.82468,3.162,0.00998645168764533,
36,-223.78705,2.609,0.00998645168764533,
37,-258.63718,2.853,0.00998645168764533,
38,-245.06255,2.8635,0.00998645168764533,
39,-231.71233,2.693,0.00998645168764533,
40,-236.51239,2.534,0.00998645168764533,
41,-236.9,2.702,0.00998645168764533,
42,-310.58755,3.1065,0.00998645168764533,
43,-315.71243,3.1805,0.00998645168764533,
44,-270.67484,2.9295,0.00998645168764533,
45,-296.63672,2.935,0.00998645168764533,
46,-267.13736,2.9355,0.00998645168764533,
47,-268.39957,2.996,0.00998645168764533,
48,-311.53717,3.038,0.00998645168764533,
49,-302.46225,3.113,0.00998645168764533,
50,-268.27487,2.868,0.00998645168764533,
51,-326.55,3.262,0.00998645168764533,
52,-313.8999,3.336,0.00998645168764533,
53,-234.24973,2.9155,0.00998645168764533,
54,-307.17468,2.9965,0.00998645168764533,
55,-217.49976,2.8845,0.00998645168764533,
56,-259.0124,2.796,0.00998645168764533,
57,-259.53778,3.046,0.00998645168764533,
58,-269.29953,2.815,0.00998645168764533,
59,-263.3746,2.9425,0.00998645168764533,
60,-292.83694,2.9805,0.00998645168764533,
61,-227.41237,2.69,0.00998645168764533,
62,-213.8249,2.6105,0.00998645168764533,
63,-225.59967,2.514,0.00998645168764533,
64,-383.31226,3.0305,0.00998645168764533,
65,-272.0997,2.758,0.00998645168764533,
66,-264.69974,2.879,0.00998645168764533,
67,-211.7123,2.533,0.00998645168764533,
68,-274.6246,2.9135,0.00998645168764533,
69,-236.38698,2.891,0.00998645168764533,
70,-329.37457,3.0395,0.00998645168764533,
71,-268.0245,2.9115,0.00998645168764533,
72,-265.36224,2.9205,0.00998645168764533,
73,-285.45004,2.94,0.00998645168764533,
74,-314.91202,3.107,0.00998645168764533,
75,-259.37482,2.828,0.00998645168764533,
76,-266.41208,2.704,0.00998645168764533,
77,-332.71222,3.0715,0.00998645168764533,
78,-310.87466,3.1355,0.00998645168764533,
79,-291.06238,2.8755,0.00998645168764533,
80,-259.94974,2.915,0.00998645168764533,
81,-200.53725,2.624,0.00998645168764533,
82,-281.60004,3.1495,0.00998645168764533,
83,-342.3247,3.411,0.00998645168764533,
84,-233.73726,2.8635,0.00998645168764533,
85,-266.12503,2.9245,0.00998645168764533,
86,-297.36215,2.972,0.00998645168764533,
87,-278.6994,2.979,0.00998645168764533,
88,-320.42505,3.246,0.00998645168764533,
89,-363.28732,3.393,0.00998645168764533,
90,-323.79987,3.088,0.00998645168764533,
91,-233.78737,2.776,0.00998645168764533,
92,-295.1373,2.9675,0.00998645168764533,
93,-246.63698,2.7505,0.00998645168764533,
94,-357.43738,3.144,0.00998645168764533,
95,-287.2622,2.9635,0.00998645168764533,
96,-225.27489,2.745,0.00998645168764533,
97,-254.7496,2.7175,0.00998645168764533,
98,-323.87494,3.019,0.00998645168764533,
99,-357.39984,3.524,0.00998645168764533,
100,-227.51198,2.717,0.00998645168764533,
101,-273.137,2.9635,0.00998645168764533,
102,-294.63742,2.819,0.00998645168764533,
103,-272.25006,3.115,0.00998645168764533,
104,-295.83716,2.9285,0.00998645168764533,
105,-229.96211,2.628,0.00998645168764533,
106,-280.76236,3.1195,0.00998645168764533,
107,-353.19998,3.4495,0.00998645168764533,
108,-269.28757,3.075,0.00998645168764533,
109,-315.88736,3.142,0.00998645168764533,
110,-203.08734,2.4505,0.00998645168764533,
111,-283.07465,3.155,0.00998645168764533,
112,-297.53705,3.2375,0.00998645168764533,
113,-248.89944,2.711,0.00998645168764533,
114,-284.19977,3.01,0.00998645168764533,
115,-302.22516,3.096,0.00998645168764533,
116,-241.76222,2.727,0.00998645168764533,
117,-243.39963,2.5275,0.00998645168764533,
118,-321.11227,3.079,0.00998645168764533,
119,-268.6499,3.02,0.00998645168764533,
120,-240.14995,2.82,0.00998645168764533,
121,-273.07513,3.006,0.00998645168764533,
122,-229.27487,2.8975,0.00998645168764533,
123,-314.76205,3.098,0.00998645168764533,
124,-255.11221,2.831,0.00998645168764533,
125,-222.11249,2.421,0.00998645168764533,
126,-234.83725,2.775,0.00998645168764533,
127,-250.71204,2.9255,0.00998645168764533,
128,-222.28731,2.533,0.00998645168764533,
129,-278.06198,2.6815,0.00998645168764533,
130,-296.82452,2.955,0.00998645168764533,
131,-281.92477,3.2055,0.00998645168764533,
132,-185.8749,2.483,0.00998645168764533,
133,-338.26248,3.3155,0.00998645168764533,
134,-245.52443,2.722,0.00998645168764533,
135,-231.91263,2.707,0.00998645168764533,
136,-248.23703,2.769,0.00998645168764533,
137,-281.56207,3.1525,0.00998645168764533,
138,-329.49976,3.023,0.00998645168764533,
139,-341.4121,3.1235,0.00998645168764533,
140,-219.93738,2.777,0.00998645168764533,
141,-257.19965,2.6615,0.00998645168764533,
142,-264.6371,2.6715,0.00998645168764533,
143,-182.53737,2.527,0.00998645168764533,
144,-262.55008,2.8995,0.00998645168764533,
145,-267.92456,2.9485,0.00998645168764533,
146,-218.87447,2.7095,0.00998645168764533,
147,-241.51225,2.8285,0.00998645168764533,
148,-273.21222,2.707,0.00998645168764533,
149,-275.35013,2.935,0.00998645168764533,
150,-276.57498,2.9185,0.00998645168764533,
151,-262.8,2.9545,0.00998645168764533,
152,-274.65,2.7895,0.00998645168764533,
153,-259.8998,2.8705,0.00998645168764533,
154,-266.62485,2.693,0.00998645168764533,
155,-310.53732,2.8485,0.00998645168764533,
156,-176.78746,2.316,0.00998645168764533,
157,-254.89952,2.648,0.00998645168764533,
158,-269.3871,3.0535,0.00998645168764533,
159,-236.38745,2.8275,0.00998645168764533,
160,-394.64972,3.493,0.00998645168764533,
161,-333.3748,3.1575,0.00998645168764533,
162,-257.76212,2.8585,0.00998645168764533,
163,-256.04974,2.9055,0.00998645168764533,
164,-309.53708,2.974,0.00998645168764533,
165,-223.08728,2.4865,0.00998645168764533,
166,-232.66225,2.6375,0.00998645168764533,
167,-287.54984,2.921,0.00998645168764533,
168,-294.94965,2.89,0.00998645168764533,
169,-304.84982,2.9015,0.00998645168764533,
170,-259.83707,2.9725,0.00998645168764533,
171,-237.63725,2.536,0.00998645168764533,
172,-187.66228,2.474,0.00998645168764533,
173,-283.42444,2.756,0.00998645168764533,
174,-258.6621,2.8045,0.00998645168764533,
175,-204.09982,2.663,0.00998645168764533,
176,-386.30005,3.5495,0.00998645168764533,
177,-255.26219,2.8745,0.00998645168764533,
178,-232.78735,2.76,0.00998645168764533,
179,-288.9497,3.341,0.00998645168764533,
180,-264.4621,2.7615,0.00998645168764533,
181,-321.51218,3.0335,0.00998645168764533,
182,-247.51202,2.913,0.00998645168764533,
183,-244.97485,2.833,0.00998645168764533,
184,-319.96216,3.219,0.00998645168764533,
185,-264.6871,2.814,0.00998645168764533,
186,-200.79962,2.4405,0.00998645168764533,
187,-332.56216,3.0375,0.00998645168764533,
188,-197.5622,2.4995,0.00998645168764533,
189,-214.33717,2.5445,0.00998645168764533,
190,-252.53706,2.534,0.00998645168764533,
191,-251.06233,2.9685,0.00998645168764533,
192,-216.73683,2.4845,0.00998645168764533,
193,-289.23743,2.8375,0.00998645168764533,
194,-200.36209,2.4995,0.00998645168764533,
195,-250.4873,2.8165,0.00998645168764533,
196,-232.9497,2.693,0.00998645168764533,
197,-262.54965,2.8835,0.00998645168764533,
198,-230.7747,2.66,0.00998645168764533,
199,-275.4369,2.8925,0.00998645168764533,
200,-281.81192,2.7435,0.00998645168764533,
201,-259.4122,2.75,0.00998645168764533,
202,-210.14973,2.39,0.00998645168764533,
203,-291.8245,2.9075,0.00998645168764533,
204,-237.0623,2.513,0.00998645168764533,
205,-253.77444,2.4655,0.00998645168764533,
206,-248.09952,2.865,0.00998645168764533,
207,-288.11252,2.8715,0.00998645168764533,
208,-232.97458,2.5875,0.00998645168764533,
209,-248.36218,2.655,0.00998645168764533,
210,-275.912,2.7165,0.00998645168764533,
211,-250.44963,2.728,0.00998645168764533,
212,-248.51201,2.659,0.00998645168764533,
213,-269.26245,2.981,0.00998645168764533,
214,-221.1122,2.4985,0.00998645168764533,
215,-299.68723,2.965,0.00998645168764533,
216,-239.87492,2.587,0.00998645168764533,
217,-211.01222,2.4765,0.00998645168764533,
218,-350.57495,3.0525,0.00998645168764533,
219,-302.78702,2.8625,0.00998645168764533,
220,-296.75003,2.8175,0.00998645168764533,
221,-234.78737,2.712,0.00998645168764533,
222,-257.36246,2.926,0.00998645168764533,
223,-282.53717,2.9515,0.00998645168764533,
224,-191.41238,2.5065,0.00998645168764533,
225,-399.98755,3.3225,0.00998645168764533,
226,-263.61243,2.8645,0.00998645168764533,
227,-292.99973,3.0235,0.00998645168764533,
228,-315.825,2.931,0.00998645168764533,
229,-232.9998,2.605,0.00998645168764533,
230,-328.99942,3.088,0.00998645168764533,
231,-220.82478,2.4795,0.00998645168764533,
232,-280.91208,2.9885,0.00998645168764533,
233,-227.28706,2.5255,0.00998645168764533,
234,-254.41174,2.6995,0.00998645168764533,
235,-226.18718,2.3605,0.00998645168764533,
236,-208.62494,2.295,0.00998645168764533,
237,-277.9619,3.097,0.00998645168764533,
238,-325.56238,3.1865,0.00998645168764533,
239,-236.08733,2.5865,0.00998645168764533,
240,-248.45006,2.76,0.00998645168764533,
241,-262.7496,2.7695,0.00998645168764533,
242,-278.92453,2.758,0.00998645168764533,
243,-298.24957,2.861,0.00998645168764533,
244,-231.99971,2.36,0.00998645168764533,
245,-269.03714,2.7555,0.00998645168764533,
246,-226.9872,2.4065,0.00998645168764533,
247,-248.48738,2.8665,0.00998645168764533,
248,-258.5497,2.771,0.00998645168764533,
249,-256.56216,2.589,0.00998645168764533,
250,-251.94965,2.8945,0.00998645168764533,
251,-272.51175,2.7505,0.00998645168764533,
252,-248.4997,2.743,0.00998645168764533,
253,-273.3495,3.031,0.00998645168764533,
254,-268.49957,2.924,0.00998645168764533,
255,-276.21216,2.93,0.00998645168764533,
256,-261.8621,3.037,0.00998645168764533,
257,-294.2745,2.778,0.00998645168764533,
258,-215.08733,2.4995,0.00998645168764533,
259,-299.42453,3.034,0.00998645168764533,
260,-227.41238,2.561,0.00998645168764533,
261,-253.5248,3.028,0.00998645168764533,
262,-254.52484,2.69,0.00998645168764533,
263,-240.54977,2.667,0.00998645168764533,
264,-221.64993,2.404,0.00998645168764533,
265,-281.6247,2.9,0.00998645168764533,
266,-233.13728,2.6595,0.00998645168764533,
267,-209.0748,2.4085,0.00998645168764533,
268,-201.84969,2.5355,0.00998645168764533,
269,-234.91246,2.5455,0.00998645168764533,
270,-266.4998,2.858,0.00998645168764533,
271,-278.93726,2.865,0.00998645168764533,
272,-292.24936,3.156,0.00998645168764533,
273,-262.78726,2.6325,0.00998645168764533,
274,-295.58734,2.913,0.00998645168764533,
275,-258.49942,3.0275,0.00998645168764533,
276,-216.23705,2.6675,0.00998645168764533,
277,-299.11264,3.007,0.00998645168764533,
278,-222.17471,2.5895,0.00998645168764533,
279,-265.3496,2.859,0.00998645168764533,
280,-204.5372,2.418,0.00998645168764533,
281,-246.17479,2.7535,0.00998645168764533,
282,-278.04947,3.0595,0.00998645168764533,
283,-222.38683,2.4685,0.00998645168764533,
284,-211.83711,2.6925,0.00998645168764533,
285,-236.22487,2.563,0.00998645168764533,
286,-258.94968,2.828,0.00998645168764533,
287,-214.1245,2.548,0.00998645168764533,
288,-260.84976,3.023,0.00998645168764533,
289,-224.87486,2.531,0.00998645168764533,
290,-217.69981,2.714,0.00998645168764533,
291,-316.23685,2.8865,0.00998645168764533,
292,-323.16208,3.1965,0.00998645168764533,
293,-204.04996,2.569,0.00998645168764533,
294,-257.5371,2.6185,0.00998645168764533,
295,-271.03732,2.8395,0.00998645168764533,
296,-279.5121,2.7375,0.00998645168764533,
297,-245.8747,2.7405,0.00998645168764533,
298,-215.04987,2.65,0.00998645168764533,
299,-239.32503,2.6315,0.00998645168764533,
300,-206.24942,2.6605,0.00998645168764533,
301,-311.97473,3.2165,0.00998645168764533,
302,-221.6373,2.557,0.00998645168764533,
303,-221.96202,2.4465,0.00998645168764533,
304,-214.83731,2.5875,0.00998645168764533,
305,-235.4997,2.59,0.00998645168764533,
306,-204.88742,2.6475,0.00998645168764533,
307,-271.23727,2.835,0.00998645168764533,
308,-267.8123,2.905,0.00998645168764533,
309,-245.47493,2.6775,0.00998645168764533,
310,-273.2,2.7635,0.00998645168764533,
311,-289.03726,2.97,0.00998645168764533,
312,-264.47476,2.7665,0.00998645168764533,
313,-298.37482,3.005,0.00998645168764533,
314,-207.24968,2.5265,0.00998645168764533,
315,-329.3371,2.9155,0.00998645168764533,
316,-239.92456,2.5705,0.00998645168764533,
317,-242.63748,2.584,0.00998645168764533,
318,-202.53726,2.5215,0.00998645168764533,
319,-194.9375,2.5355,0.00998645168764533,
320,-296.17487,2.778,0.00998645168764533,
321,-231.2749,2.569,0.00998645168764533,
322,-202.84988,2.494,0.00998645168764533,
323,-277.52487,2.729,0.00998645168764533,
324,-252.79994,2.6855,0.00998645168764533,
325,-249.53717,2.6485,0.00998645168764533,
326,-252.28703,2.7675,0.00998645168764533,
327,-221.39967,2.7015,0.00998645168764533,
328,-240.61232,2.6195,0.00998645168764533,
329,-232.71213,2.3915,0.00998645168764533,
330,-225.27473,2.5835,0.00998645168764533,
331,-258.18695,2.6075,0.00998645168764533,
332,-235.9873,2.6735,0.00998645168764533,
333,-298.3995,3.0005,0.00998645168764533,
334,-232.56233,2.6275,0.00998645168764533,
335,-204.13739,2.4835,0.00998645168764533,
336,-240.66217,2.6085,0.00998645168764533,
337,-229.662,2.6135,0.00998645168764533,
338,-160.5875,2.2625,0.00998645168764533,
339,-214.83734,2.6985,0.00998645168764533,
340,-229.81218,2.582,0.00998645168764533,
341,-264.14957,2.993,0.00998645168764533,
342,-205.775,2.6225,0.00998645168764533,
343,-217.32492,2.612,0.00998645168764533,
344,-197.17471,2.465,0.00998645168764533,
345,-217.8875,2.41,0.00998645168764533,
346,-188.08736,2.5205,0.00998645168764533,
347,-203.27478,2.5095,0.00998645168764533,
348,-229.97453,2.7785,0.00998645168764533,
349,-207.91226,2.4025,0.00998645168764533,
350,-201.19969,2.5395,0.00998645168764533,
351,-259.8621,2.741,0.00998645168764533,
352,-238.52463,2.9225,0.00998645168764533,
353,-229.49948,2.77,0.00998645168764533,
354,-239.56259,2.7005,0.00998645168764533,
355,-187.42476,2.5615,0.00998645168764533,
356,-220.63737,2.5235,0.00998645168764533,
357,-251.73677,2.515,0.00998645168764533,
358,-221.94958,2.5315,0.00998645168764533,
359,-247.27478,2.616,0.00998645168764533,
360,-220.76225,2.6285,0.00998645168764533,
361,-244.48698,2.451,0.00998645168764533,
362,-208.57465,2.404,0.00998645168764533,
363,-206.98741,2.638,0.00998645168764533,
364,-245.49983,2.791,0.00998645168764533,
365,-192.38705,2.381,0.00998645168764533,
366,-259.69995,2.75,0.00998645168764533,
367,-254.41216,2.6885,0.00998645168764533,
368,-252.36227,2.789,0.00998645168764533,
369,-219.63728,2.351,0.00998645168764533,
370,-251.02477,2.5295,0.00998645168764533,
371,-243.99974,2.523,0.00998645168764533,
372,-214.64989,2.5755,0.00998645168764533,
373,-236.21239,2.5665,0.00998645168764533,
374,-252.6619,2.9405,0.00998645168764533,
375,-195.41232,2.516,0.00998645168764533,
376,-242.51207,2.8055,0.00998645168764533,
377,-226.6125,2.719,0.00998645168764533,
378,-215.58719,2.453,0.00998645168764533,
379,-207.87459,2.554,0.00998645168764533,
380,-233.61227,2.5955,0.00998645168764533,
381,-260.23715,2.713,0.00998645168764533,
382,-262.9245,2.786,0.00998645168764533,
383,-267.97452,2.564,0.00998645168764533,
384,-262.71213,2.8005,0.00998645168764533,
385,-236.32458,2.404,0.00998645168764533,
386,-202.22484,2.424,0.00998645168764533,
387,-225.21228,2.4225,0.00998645168764533,
388,-251.67465,2.7005,0.00998645168764533,
389,-210.27483,2.243,0.00998645168764533,
390,-269.84976,2.7885,0.00998645168764533,
391,-266.06168,2.579,0.00998645168764533,
392,-313.69928,2.8975,0.00998645168764533,
393,-226.56175,2.5725,0.00998645168764533,
394,-210.03732,2.579,0.00998645168764533,
395,-201.16235,2.407,0.00998645168764533,
396,-245.37502,2.457,0.00998645168764533,
397,-297.99973,2.994,0.00998645168764533,
398,-251.79988,2.851,0.00998645168764533,
399,-210.49985,2.641,0.00998645168764533,
400,-258.4745,2.8045,0.00998645168764533,
401,-272.94977,2.846,0.00998645168764533,
402,-236.09978,2.8585,0.00998645168764533,
403,-323.67462,3.1255,0.00998645168764533,
404,-299.8123,2.9505,0.00998645168764533,
405,-193.16226,2.507,0.00998645168764533,
406,-249.77483,2.813,0.00998645168764533,
407,-228.58755,2.5435,0.00998645168764533,
408,-216.66234,2.619,0.00998645168764533,
409,-225.42462,2.683,0.00998645168764533,
410,-254.44955,2.78,0.00998645168764533,
411,-303.59973,3.0315,0.00998645168764533,
412,-233.57475,2.619,0.00998645168764533,
413,-260.36218,2.8525,0.00998645168764533,
414,-216.73709,2.408,0.00998645168764533,
415,-220.88725,2.507,0.00998645168764533,
416,-180.58748,2.2085,0.00998645168764533,
417,-271.3371,2.514,0.00998645168764533,
418,-238.8122,2.7425,0.00998645168764533,
419,-243.43675,2.431,0.00998645168764533,
420,-186.3247,2.0665,0.00998645168764533,
421,-228.53694,2.3555,0.00998645168764533,
422,-185.92477,2.254,0.00998645168764533,
423,-280.44983,2.451,0.00998645168764533,
424,-244.49953,2.499,0.00998645168764533,
425,-240.5748,2.8395,0.00998645168764533,
426,-320.1621,2.99,0.00998645168764533,
427,-222.3622,2.469,0.00998645168764533,
428,-188.82472,2.433,0.00998645168764533,
429,-240.162,2.414,0.00998645168764533,
430,-228.17482,2.335,0.00998645168764533,
431,-232.39992,2.424,0.00998645168764533,
432,-201.8248,2.412,0.00998645168764533,
433,-218.3746,2.249,0.00998645168764533,
434,-274.28674,2.9315,0.00998645168764533,
435,-233.4498,2.691,0.00998645168764533,
436,-223.89975,2.6535,0.00998645168764533,
437,-190.59966,2.3665,0.00998645168764533,
438,-214.9247,2.371,0.00998645168764533,
439,-256.612,2.5855,0.00998645168764533,
440,-211.49954,2.277,0.00998645168764533,
441,-221.26218,2.5285,0.00998645168764533,
442,-204.57498,2.431,0.00998645168764533,
443,-233.33664,2.3665,0.00998645168764533,
444,-199.36221,2.5195,0.00998645168764533,
445,-237.43756,2.4655,0.00998645168764533,
446,-200.54977,2.2385,0.00998645168764533,
447,-242.03731,2.493,0.00998645168764533,
448,-272.0244,2.7435,0.00998645168764533,
449,-182.06244,2.351,0.00998645168764533,
450,-239.0621,2.583,0.00998645168764533,
451,-204.67456,2.4055,0.00998645168764533,
452,-213.39972,2.395,0.00998645168764533,
453,-222.01204,2.535,0.00998645168764533,
454,-201.19968,2.2765,0.00998645168764533,
455,-210.0495,2.229,0.00998645168764533,
456,-229.79968,2.5665,0.00998645168764533,
457,-229.58733,2.453,0.00998645168764533,
458,-188.41237,2.422,0.00998645168764533,
459,-206.66237,2.404,0.00998645168764533,
460,-280.79953,2.6925,0.00998645168764533,
461,-184.31227,2.3055,0.00998645168764533,
462,-198.61223,2.506,0.00998645168764533,
463,-186.84964,2.671,0.00998645168764533,
464,-238.58743,2.731,0.00998645168764533,
465,-232.9996,2.4765,0.00998645168764533,
466,-252.31197,2.6715,0.00998645168764533,
467,-208.73738,2.45,0.00998645168764533,
468,-231.5124,2.6245,0.00998645168764533,
469,-191.82498,2.494,0.00998645168764533,
470,-215.2873,2.3485,0.00998645168764533,
471,-252.7493,2.602,0.00998645168764533,
472,-224.42459,2.4735,0.00998645168764533,
473,-244.4747,2.6115,0.00998645168764533,
474,-219.98737,2.396,0.00998645168764533,
475,-240.36237,2.501,0.00998645168764533,
476,-241.2624,2.766,0.00998645168764533,
477,-232.69992,2.7245,0.00998645168764533,
478,-253.32466,2.6685,0.00998645168764533,
479,-291.04993,3.025,0.00998645168764533,
480,-232.51219,2.6425,0.00998645168764533,
481,-334.14954,2.7835,0.00998645168764533,
482,-268.8624,2.687,0.00998645168764533,
483,-215.67479,2.422,0.00998645168764533,
484,-199.87471,2.253,0.00998645168764533,
485,-235.01224,2.651,0.00998645168764533,
486,-247.46216,2.7295,0.00998645168764533,
487,-266.5117,2.6415,0.00998645168764533,
488,-207.46237,2.497,0.00998645168764533,
489,-236.5121,2.4065,0.00998645168764533,
490,-239.59975,2.672,0.00998645168764533,
491,-244.84972,2.8145,0.00998645168764533,
492,-281.53717,2.8135,0.00998645168764533,
493,-232.53702,2.2295,0.00998645168764533,
494,-173.9248,2.412,0.00998645168764533,
495,-216.89899,2.327,0.00998645168764533,
496,-232.87437,2.477,0.00998645168764533,
497,-230.74991,2.666,0.00998645168764533,
498,-226.41228,2.442,0.00998645168764533,
499,-252.91235,2.666,0.00998645168764533,
500,-207.59973,2.2375,0.00998645168764533,
501,-257.6118,2.4915,0.00998645168764533,
502,-159.61234,2.1245,0.00998645168764533,
503,-213.5495,2.1025,0.00998645168764533,
504,-239.68707,2.2965,0.00998645168764533,
505,-258.96234,2.6115,0.00998645168764533,
506,-240.46193,2.4105,0.00998645168764533,
507,-227.01227,2.449,0.00998645168764533,
508,-214.44981,2.419,0.00998645168764533,
509,-211.58736,2.3365,0.00998645168764533,
510,-234.23726,2.703,0.00998645168764533,
511,-234.49986,2.3785,0.00998645168764533,
512,-255.36229,2.67,0.00998645168764533,
513,-214.3123,2.551,0.00998645168764533,
514,-197.34975,2.255,0.00998645168764533,
515,-251.9371,2.4925,0.00998645168764533,
516,-203.81252,2.4425,0.00998645168764533,
517,-252.1497,2.843,0.00998645168764533,
518,-207.39972,2.549,0.00998645168764533,
519,-270.8123,3.082,0.00998645168764533,
